date,close
2015-02-18,1.13971
2015-02-19,1.1368200000000002
2015-02-20,1.13789
2015-02-23,1.13344
2015-02-24,1.13404
2015-02-25,1.13605
2015-02-26,1.11981
2015-02-27,1.11953
2015-03-02,1.1183100000000001
2015-03-03,1.11754
2015-03-04,1.1079299999999999
2015-03-05,1.10275
2015-03-06,1.0842100000000001
2015-03-09,1.08524
2015-03-10,1.06986
2015-03-11,1.05472
2015-03-12,1.06356
2015-03-13,1.04964
2015-03-16,1.05655
2015-03-17,1.05968
2015-03-18,1.08671
2015-03-19,1.06587
2015-03-20,1.0821100000000001
2015-03-23,1.09459
2015-03-24,1.09248
2015-03-25,1.0969799999999998
2015-03-26,1.0884200000000002
2015-03-27,1.08896
2015-03-30,1.0833700000000002
2015-03-31,1.07356
2015-04-01,1.07628
2015-04-02,1.08799
2015-04-03,1.09659
2015-04-06,1.09229
2015-04-07,1.08141
2015-04-08,1.07805
2015-04-09,1.06589
2015-04-10,1.06017
2015-04-13,1.05665
2015-04-14,1.06545
2015-04-15,1.0683
2015-04-16,1.0761399999999999
2015-04-17,1.0806200000000001
2015-04-20,1.0737
2015-04-21,1.07355
2015-04-22,1.07243
2015-04-23,1.08239
2015-04-24,1.08733
2015-04-27,1.08887
2015-04-28,1.09816
2015-04-29,1.11264
2015-04-30,1.12226
2015-05-01,1.11961
2015-05-04,1.11494
2015-05-05,1.1185
2015-05-06,1.1347
2015-05-07,1.12658
2015-05-08,1.12114
2015-05-11,1.11548
2015-05-12,1.1213600000000001
2015-05-13,1.13543
2015-05-14,1.14097
2015-05-15,1.14468
2015-05-18,1.13142
2015-05-19,1.11493
2015-05-20,1.1097299999999999
2015-05-21,1.1112
2015-05-22,1.10106
2015-05-25,1.09772
2015-05-26,1.08743
2015-05-27,1.09039
2015-05-28,1.09465
2015-05-29,1.09921
2015-06-01,1.09251
2015-06-02,1.1151200000000001
2015-06-03,1.12754
2015-06-04,1.12382
2015-06-05,1.1113899999999999
2015-06-08,1.1291799999999999
2015-06-09,1.12808
2015-06-10,1.13235
2015-06-11,1.12575
2015-06-12,1.12656
2015-06-15,1.12837
2015-06-16,1.1249200000000001
2015-06-17,1.13392
2015-06-18,1.13666
2015-06-19,1.13486
2015-06-22,1.13408
2015-06-23,1.1167799999999999
2015-06-24,1.12053
2015-06-25,1.12061
